country1,country2,p_dist
Palestinian,Peloponnese,0.023537775018518576
Peloponnese,Peloponnese,0.18765729280076912
Russia,Peloponnese,0.0053468595564382165
Sahara,Peloponnese,0.014675598595131836
Sardinia,Peloponnese,0.02545130473535753
SE_Laconia,Peloponnese,0.0031739995412986884
Serbia,Peloponnese,0.03935741258187978
Sicily,Peloponnese,0.0422195669170683
South_Morocco,Peloponnese,0.008018857634748192
Tunisia,Peloponnese,0.024634005387920415
Tuscany,Peloponnese,0.026069292464360006
Yemenite,Peloponnese,0.02248463930527883
Algeria,Russia,0.011321929528783347
Basque,Russia,0.014166103028177725
Bedouin,Russia,0.014539166618300755
Cappadocia,Russia,0.014956224335389486
Chuvash,Russia,0.028967888715614044
